"Product ID","Description","Size","In Stock","Committed","Available","Locations","Location Count","Off Crop Stock","Off Crop Cmt","Off Crop Location Count","Date"
"NEPCP72","Nepeta 'Cat's Pajamas'","72","6824","0","6824","0000","1","6824","0","1","2026-09-08 00:00:00"
"NEPCP1","Nepeta 'Cat's Pajamas'","#1","276","120","156","A05","1","0","0","0","2026-09-08 00:00:00"
"SALCAR72","Salvia nemorosa 'Caradonna'","72","5124","0","5124","0000","1","5124","0","1","2026-09-08 00:00:00"
"LAVMUN72","Lavandula 'Munstead'","72","4320","0","4320","0000","1","4320","0","1","2026-09-08 00:00:00"
"HEUOBS50","Heuchera 'Obsidian'","50","2300","0","2300","B13","1","0","0","0","2026-09-08 00:00:00"
"THYGW105","Thymus 'German Winter'","105-O","4200","0","4200","0000","1","4200","0","1","2026-09-08 00:00:00"
"ECHMAG1","Echinacea purpurea 'Magnus'","#1","4608","1500","3108","0000","1","4608","1500","1","2026-09-08 00:00:00"
"RUDGS1","Rudbeckia 'Goldsturm'","#1","1216","800","416","A05","1","0","0","0","2026-09-08 00:00:00"
"SEDAJQT","Sedum 'Autumn Joy'","Qt","3888","400","3488","A12","1","0","0","0","2026-09-08 00:00:00"
"ROSARP72","Rosmarinus 'Arp'","72","936","0","936","LOST","1","936","0","1","2026-09-08 00:00:00"
"PANNW1","Panicum virgatum 'Northwind'","#1","900","0","900","0000","1","900","0","1","2026-09-08 00:00:00"
