"Product ID","Description","Size","Location","Ready","In Stock","Committed","Available","Date"
"NEPCP72","Nepeta 'Cat's Pajamas'","72","0000","PROD","6824","0","6824","9/8/2026 12:00:00 AM"
"NEPCP72","Nepeta 'Cat's Pajamas'","72","xOffice","CATALOG","9","0","9","9/8/2026 12:00:00 AM"
"NEPCP1","Nepeta 'Cat's Pajamas'","#1","A05","READY","276","120","156","9/8/2026 12:00:00 AM"
"SALCAR72","Salvia nemorosa 'Caradonna'","72","0000","PROD","5124","0","5124","9/8/2026 12:00:00 AM"
"LAVMUN72","Lavandula 'Munstead'","72","0000","PROD","4320","0","4320","9/8/2026 12:00:00 AM"
"HEUOBS50","Heuchera 'Obsidian'","50","B13","PROD","2300","0","2300","9/8/2026 12:00:00 AM"
"THYGW105","Thymus 'German Winter'","105-O","0000","PROD","4200","0","4200","9/8/2026 12:00:00 AM"
"ECHMAG1","Echinacea purpurea 'Magnus'","#1","0000","PROD","4608","1500","3108","9/8/2026 12:00:00 AM"
"RUDGS1","Rudbeckia 'Goldsturm'","#1","A05","READY","1216","800","416","9/8/2026 12:00:00 AM"
"SEDAJQT","Sedum 'Autumn Joy'","Qt","A12","READY","3888","400","3488","9/8/2026 12:00:00 AM"
"ROSARP72","Rosmarinus 'Arp'","72","LOST","PROD","936","0","936","9/8/2026 12:00:00 AM"
"PANNW1","Panicum virgatum 'Northwind'","#1","0000","PROD","900","0","900","9/8/2026 12:00:00 AM"
"PACKBOX","Packing and Boxes","Each","Default","READY","1000000","0","1000000","9/8/2026 12:00:00 AM"
