"Date","txtProductID","memDescription","txtSize","Text125","QtyPlanted","txtOrgQty","txtFinalQty","txtReason","txtUser","txtLocation"
"8/31/2026 12:00:00 AM","RUDGS1","Rudbeckia 'Goldsturm'","#1","SOLD","-24","1240","1216","","Millcreek16","A05"
"9/1/2026 12:00:00 AM","HEUOBS50","Heuchera 'Obsidian'","50","TOUT","-100","2400","2300","To bump-up line","Millcreek16","B13"
"9/1/2026 12:00:00 AM","HEUOBS1","Heuchera 'Obsidian'","#1","TIN","100","0","100","Bumped from 50-cell","Millcreek16","B02"
"9/2/2026 12:00:00 AM","SALCAR72","Salvia nemorosa 'Caradonna'","72","DUMP","-60","5184","5124","Botrytis lower leaf","Millcreek16","0000"
"9/3/2026 12:00:00 AM","NEPCP72","Nepeta 'Cat's Pajamas'","72","LOSS","-88","6912","6824","Rooting audit cull","Millcreek16","0000"
"9/3/2026 12:00:00 AM","LAVMUN72","Lavandula 'Munstead'","72","TIN","4320","0","4320","Stuck 60 trays","Millcreek16","0000"
"9/4/2026 12:00:00 AM","NEPCP1","Nepeta 'Cat's Pajamas'","#1","COUNT","276","300","276","Correction","Millcreek16","A05"
"9/4/2026 12:00:00 AM","SEDAJQT","Sedum 'Autumn Joy'","Qt","Update","0","3888","3888","Comment edit","Millcreek16","A12"
"9/5/2026 12:00:00 AM","THYGW105","Thymus 'German Winter'","105-O","TIN","4200","0","4200","Stuck 40 trays","Millcreek16","0000"
"9/5/2026 12:00:00 AM","PACKBOX","Packing and Boxes","Each","COUNT","1000000","999950","1000000","BOM Correction","Millcreek16","Default"
